Rank,Artist,Song,Genre,Year,Lyrics
2498,Slint,"Good Morning, Captain","Post-Hardcore,Post-Rock  ",1991, 
2499,The Beatles,Hey Bulldog,"Pop Rock,Psychedelic Rock  ",1969, 
2500,Bob Dylan,It Ain't Me Babe,"Contemporary Folk,Singer/Songwriter  ",1964,"Go 'way from my window
Leave at your own chosen speed
I'm not the one you want, babe
I'm not the one you need
You say you're lookin' for someone
Who's never weak but always strong
To protect you an' defend you
Whether you are right or wrong
Someone to open each and every door
But it ain't me, babe
No, no, no, it ain't me, babe
It ain't me you're lookin' for, babe.

Go lightly from the ledge, babe
Go lightly on the ground
I'm not the one you want, babe
I will only let you down
You say you're lookin' for someone
Who will promise never to part
Someone to close his eyes for you
Someone to close his heart
Someone who will die for you an' more
But it ain't me, babe
No, no, no, it ain't me babe
It ain't me you're lookin' for, babe.

Go melt back in the night
Everything inside is made of stone
There's nothing in here moving
An' anyway I'm not alone
You say you're looking for someone
Who'll pick you up each time you fall
To gather flowers constantly
An' to come each time you call
A lover for your life an' nothing more
But it ain't me, babe
No, no, no, it ain't me, babe
It ain't me you're lookin' for, babe."
2501,Joe Turner & Pete Johnson,Roll 'Em Pete,"Boogie Woogie,Jump-Blues  ",1939, 
2502,Tony Bennett,I Left My Heart in San Francisco,Standards   ,1962,"The loveliness of Paris seems somehow sadly gay
The glory that was Rome is of another day
I've been terribly alone and forgotten in Manhattan
I'm going home to my city by the Bay

I left my heart in San Francisco
High on a hill, it calls to me
To be where little cable cars climb halfway to the stars
The morning fog may chill the air, I don't care

My love waits there in San Francisco
Above the blue and windy sea
When I come home to you, San Francisco
Your golden sun will shine for me"
2503,Jimmy Forrest,Night Train,Soul Jazz   ,1952, 
2504,Franz Ferdinand,Darts of Pleasure,"Dance-Punk,Post-Punk Revival  ",2003,"You are the latest contender
You are the one to remember
You are the villain who sends a
Line of dark fantastic passion
I know that you will surrender
I know that you will surrender
I want this fantastic passion
Will have fantastic passion

You can feel my lips undress your eyes
Undress your eyes, undress your eyes
Words of love and words so leisured
Words are poisoned darts of pleasure
Die, and so you die

You are the latest adventure
You're an emotion avenger
You are the devil that sells a
A line of dark fantastic passion
I know that you will surrender
I know that you will surrender
I want this fantastic passion
Will have fantastic passion

You can feel my lips undress your eyes
Undress your eyes, undress your eyes
Skin can feel my lips they tingle, tense anticipation
This one is an easy one, feel the word and melt upon it
Words of love and words so leisured
Words are poisoned darts of pleasure
Die, and so you die

[German:]
Ich heiße Superphantastisch!
Ich trinke Schampus mit Lachsfisch!
Ich heiße Superphantastisch!
Ich heiße Superphantastisch!
Ich trinke Schampus mit Lachsfisch!
Ich heiße Superphantastisch!
Ich heiße Superphantastisch!
Ich trinke Schampus mit Lachsfisch!
Ich heiße Superphantastisch!
Ich heiße Superphantastisch!
Ich trinke Schampus mit Lachsfisch!
Ich heiße Superphantastisch!"
2505,Nelly Furtado,Maneater,"Dance-Pop,Electropop  ",2006,"Take it back, take it back, take it back
Oh oh oh ah oh
Oh ah oh oh oh ah

Everybody look at me, me (Oh)
I walk in the door, you start screaming (Oh)
Come on, everybody, what you here for? (Oh)
Move your body around like a nympho (Oh)
Everybody get your necks to crack around (Oh)
All you crazy people, come on, jump around (Oh)
I wanna see you all on your knees, knees (Oh)
You either wanna be with me, or be me
(Come on, now)

Maneater, make you work hard
Make you spend hard, make you want all of her love
She's a maneater, make you buy cars
Make you cut cards, make you fall real hard in love
She's a maneater, make you work hard
Make you spend hard, make you want all of her love
She's a maneater, make you buy cars
Make you cut cards, wish you never ever met her at all

And when she walks, she walks with passion (Oh)
When she talks, she talks like she can handle it (Oh)
When she asks for somethin', boy, she means it (Oh)
Even if you never ever seen it (Oh)
Everybody get your necks to crack around (Oh)
All you crazy people, come on, jump around (Oh)
You doin' anything to keep her by your side (Oh)
Because, she said she love you, love you long time
(Come on, now)

Maneater, make you work hard
Make you spend hard, make you want all of her love
She's a maneater, make you buy cars
Make you cut cards, make you fall real hard in love
She's a maneater, make you work hard
Make you spend hard, make you want all of her love
She's a maneater, make you buy cars
Make you cut cards, wish you never ever met her at all

(Oh)
Ah-ah-ah-ah oh (Oh)
Ah-ah-ah-ah oh (Oh)
Ah-ah-ah-ah oh (Oh)
Ah-ah-ah-ah yeah
(Come on, now)

Maneater, make you work hard
Make you spend hard, make you want all of her love
She's a maneater, make you buy cars
Make you cut cards, make you fall real hard in love
She's a maneater, make you work hard
Make you spend hard, make you want all of her love
She's a maneater, make you buy cars
Make you cut cards, wish you never ever met her at all

No, never ever met her at all (What you sayin' girl?)
You wish you never ever met her at all (What you sayin' girl?)
You wish you never ever met her at all (What you sayin' girl?)
You wish you never ever met her at all (Come on!)
You wish you never ever met her at all (What you sayin' girl?)
You wish you never ever met her at all (What you sayin' girl?)
You wish you never ever met her at all (What you sayin' girl?)
You wish you never ever met her at all (Break!)
(I been around the world I ain't never meet a girl like this)
She's a maneater, a maneater
(I been around the world I ain't never meet a girl like this)
She's a maneater, a maneater
(I been around the world I ain't never meet a girl like this)
She's a maneater, a maneater
(I been around the world I ain't never meet a girl like this)
Like this, like this, like this, like this"
2506,Europe,The Final Countdown,"AOR,Hard Rock  ",1986,"Ten, nine, eight, seven, six, five, four, three, two, one.

We're leaving together,
But still it's farewell.
And maybe we'll come back
To earth, who can tell?

I guess there is no one to blame.
We're leaving ground (leaving ground).
Will things ever be the same again?

It's the final countdown.
The final countdown.

We're heading for Venus (Venus).
And still we stand tall.
'Cause maybe they've seen us.
And welcome us all, yeah.

With so many light years to go
And things to be found (to be found)
I'm sure that we'll all miss her so.

It's the final countdown.
The final countdown.
The final countdown.

The final countdown.

It's the final countdown.
The final countdown.
The final countdown.

It's the final countdown.
We're leaving together.
The final countdown.
We'll all miss her so.
It's the final countdown.

It's the final countdown."
2507,Badly Drawn Boy,Once Around the Block,"Indie Folk,Indie Pop,Singer/Songwriter ",1999,"You quiver like a candle on fire
I'm putting you out
Maybe tonight we could be the last shout
But I'm fascinated by your style
Your beauty will last for a while

You're feeling instead of being
The more that I live on the inside
There's nothing to give
I'm infatuated by your moves
I'm got to search out for your clues

I want to repair your desire
And call it a gift that I stole from
just wanting to live
Now I see the vision through your eyes
Your innocence no longer fuels surprise

Trying to outrun your fear
Your running to lose, heart on your sleeve
And your soul in your shoes
Take a left, a sharp left
And another left, meet me on the corner
And we'll start again"
2508,Justin Timberlake,Mirrors,"Contemporary R&B,Pop Soul  ",2013,"Aren't you somethin' to admire?
'Cause your shine is somethin' like a mirror
And I can't help but notice
You reflect in this heart of mine
If you ever feel alone and
The glare makes me hard to find
Just know that I'm always parallel on the other side

'Cause with your hand in my hand and a pocket full of soul
I can tell you there's no place we couldn't go
Just put your hand on the glass
I'm here tryin' to pull you through
You just gotta be strong

'Cause I don't wanna lose you now
I'm lookin' right at the other half of me
The vacancy that sat in my heart
Is a space that now you hold
Show me how to fight for now
And I'll tell you, baby, it was easy
Comin' back here to you once I figured it out
You were right here all along

It's like you're my mirror
My mirror staring back at me
I couldn't get any bigger
With anyone else beside of me
And now it's clear as this promise
That we're making two reflections into one
'Cause it's like you're my mirror
My mirror staring back at me, staring back at me

Aren't you somethin', an original
'Cause it doesn't seem merely a sample
And I can't help but stare, 'cause
I see truth somewhere in your eyes
I can't ever change without you
You reflect me, I love that about you
And if I could, I would look at us all the time

'Cause with your hand in my hand and a pocket full of soul
I can tell you there's no place we couldn't go
Just put your hand on the glass
I'm here tryin' to pull you through
You just gotta be strong

'Cause I don't wanna lose you now
I'm lookin' right at the other half of me
The vacancy that sat in my heart
Is a space that now you hold
Show me how to fight for now
And I'll tell you, baby, it was easy
Comin' back here to you once I figured it out
You were right here all along

It's like you're my mirror
My mirror staring back at me
I couldn't get any bigger
With anyone else beside of me
And now it's clear as this promise
That we're making two reflections into one
'Cause it's like you're my mirror
My mirror staring back at me, staring back at me

Yesterday is history
Tomorrow's a mystery
I can see you lookin' back at me
Keep your eyes on me
Baby, keep your eyes on me

'Cause I don't wanna lose you now
I'm lookin' right at the other half of me
The vacancy that sat in my heart
Is a space that now you hold
Show me how to fight for now (please show me, baby)
I'll tell you, baby, it was easy
Comin' back here to you once I figured it out
You were right here all along

It's like you're my mirror
My mirror staring back at me
I couldn't get any bigger
With anyone else beside of me
And now it's clear as this promise
That we're making two reflections into one
'Cause it's like you're my mirror
My mirror staring back at me, staring back at me

You are, you are the love of my life [10x]

Now you're the inspiration of this precious song
And I just wanna see your face light up since you put me on
So now I say goodbye to the old me, it's already gone
And I can't wait wait wait wait wait to get you home
Just to let you know, you are

You are, you are the love of my life [8x]

Girl you're my reflection, all I see is you
My reflection, in everything I do
You're my reflection and all I see is you
My reflection, in everything I do

You are, you are the love of my life [16x]"
2509,Ernie K-Doe,Mother-in-Law,"Doo-Wop,New Orleans R&B,Soul ",1961, 
2510,Lana Del Rey,West Coast,"Art Pop,Dream Pop  ",2014,"Down on the West coast, they got a saying
""If you're not drinking, then you're not playing""
But you've got the music
You've got the music in you, don't you?
Down on the West coast, I get this feeling like
It all could happen, that's why I'm leaving
You for the moment, you for the moment
Boy Blue, yeah, you

You're falling hard, I push away, I'm feeling hot to the touch
You say you miss me and I wanna say I miss you so much
But something keeps me really quiet, I'm alive, I'm a lush
Your love, your love, my love

I can see my baby swinging
His Parliament's on fire and his hands are up
On the balcony and I'm singing
Ooh baby, ooh baby, I'm in love
I can see my sweet boy swaying
He's crazy y cubano como yo, la-la
On the balcony and I'm saying
Move baby, move baby, I'm in love
I'm in love (I'm in love)
I'm in love (I'm in love)

(Mic-check)
(One, two)
(Two, two)
(Get it, girl)

Down on the West coast, they got their icons
Their silver starlets, their Queens of Saigons
And you've got the music
You've got the music in you, don't you?
Down on the West coast, they love their movies
Their golden gods and Rock 'n' Roll groupies
And you've got the music
You've got the music in you, don't you?

You push it hard, I pull away, I'm feeling hotter than fire
I guess that no one ever really made me feel that much higher
Te deseo, cariño, boy, it's you I desire
Your love, your love, my love

I can see my baby swinging
His Parliament's on fire and his hands are up
On the balcony and I'm singing
Ooh baby, ooh baby, I'm in love
I can see my sweet boy swaying
He's crazy y cubano como yo, la-la
On the balcony and I'm saying
Move baby, move baby, I'm in love

I can see my baby swinging
His Parliament's on fire and his hands are up
On the balcony and I'm singing
Ooh baby, ooh baby, I'm in love
I can see my sweet boy swaying
He's crazy y cubano como yo, la-la
On the balcony and I'm saying
Move baby, move baby, I'm in love

I'm in love
I'm in love"
2511,Blind Alfred Reed,How Can a Poor Man Stand Such Times and Live,"Appalachian Folk Music,Old-Time  ",1929, 
2512,Radiohead,Just,Alternative Rock   ,1995,"Can't get the stink off
He's been hanging 'round for days
Comes like a comet
Suckered you but not your friends

One day he'll get to you
And teach you how to be a holy cow

You do it to yourself, you do
And that's why it really hurts
Is that you do it to yourself, just you
You and no one else
You do it to yourself
You do it to yourself

Don't get my sympathy
Hanging out the fifteenth floor
You've changed the locks three times
He still comes reeling through the door

One day I'll get to you
And teach you how to get to purest hell

You do it to yourself, you do
And that's why it really hurts
Is that you do it to yourself, just you
You and no one else
You do it to yourself
You do it to yourself

You do it to yourself, you do
And that's why it really hurts
Is that you do it to yourself, just you
You and no one else
You do it to yourself
You do it to yourself
Self"
2513,Blondie,Hanging on the Telephone,"New Wave,Pop Rock  ",1978,"I'm in the phone booth, it's the one across the hall
If you don't answer, I'll just ring it off the wall
I know he's there, but I just had to call
Don't leave me hanging on the telephone
Don't leave me hanging on the telephone
I heard your mother now she's going out the door
Did she go to work or just go to the store
All those things she said, I told you to ignore
Oh why can't we talk again
Oh why can't we talk again
Oh why can't we talk again
Don't leave me hanging on the telephone
Don't leave me hanging on the telephone

It's good to hear your voice, you know it's been so long
If I don't get your call then everything goes wrong
I want to tell you something you've known all along
Don't leave me hanging on the telephone

I had to interrupt and stop this conversation
Your voice across the line gives me a strange sensation
I'd like to talk when I can show you my affection
Oh I can't control myself
Oh I can't control myself
Oh I can't control myself
Don't leave me hanging on the telephone

Hang up and run to me
Whoah, hang up and run to me
Whoah, hang up and run to me
Whoah, hang up and run to me
Whoah oh oh oh run to me"
2514,The Stone Roses,Made of Stone,"Baggy / Madchester,Jangle Pop  ",1989, 
2515,Ernest Tubb,Walking the Floor Over You,Honky Tonk   ,1941,"You left me and you went away
You said that you'd be back in just a day
You've broken your promise and you left me here alone
I don't know why you did dear but I do know that you're gone

I'm walking the floor over you
I can't sleep a wink that is true
I'm hoping and I'm praying as my heart breaks right in two
Walking the floor over you

Now darling you know I love you well
Love you more than I can ever tell
I thought that you loved me and always would be mine
But you went and left me here with troubles on my mind

I'm walking the floor over you
I can't sleep a wink that is true
I'm hoping and I'm praying as my heart breaks right in two
Walking the floor over you

Now someday you may be lonesome too
Walking the floor is good for you
Just keep right on walking and it won't hurt you to cry
Remember that I love you and I will the day I die

I'm walking the floor over you
I can't sleep a wink that is true
I'm hoping and I'm praying as my heart breaks right in two
Walking the floor over you"
2516,Billie Holiday,The Man I Love,"Standards,Vocal Jazz  ",1940,"Someday he'll come along
The man I love
And he'll be big and strong
The man I love
And when he comes my way
I'll do my best to make him stay
He'll look at me and smile
I'll understand
Then in a little while
He'll take my hand
And though it seems absurd
I know we both won't say a word
Maybe I shall meet him Sunday
Maybe Monday, maybe not
Still I'm sure to meet him one day
Maybe Tuesday will be my good news day
He'll build a little home
That's meant for two
From which I'll never roam
Who would, would you
And so all else above
I'm dreaming of the man I love"
2517,Chumbawamba,Tubthumping,Pop Rock   ,1997,"Truth is I thought it mattered
I thought that music mattered
But does it? Bollocks
Not compared to our people matter

We'll be singing
When we're winning
We'll be singing

I get knocked down
But I get up again
You're never gonna keep me down
I get knocked down
But I get up again
You're never gonna keep me down
I get knocked down
But I get up again
You're never gonna keep me down
I get knocked down
But I get up again
You're never gonna keep me down

Pissing the night away
Pissing the night away

He drinks a whiskey drink
He drinks a vodka drink
He drinks a lager drink
He drinks a cider drink
He sings the songs that remind him of the good times
He sings the songs that remind of the better times

Oh, Danny boy
Danny boy
Danny boy

I get knocked down
But I get up again
You're never gonna keep me down
I get knocked down
But I get up again
You're never gonna keep me down
I get knocked down
But I get up again
You're never gonna keep me down
I get knocked down
But I get up again
You're never gonna keep me down

Pissing the night away
Pissing the night away

He drinks a whiskey drink
He drinks a vodka drink
He drinks a lager drink
He drinks a cider drink
He sings the songs that remind him of the good times
He sings the songs that remind him of the better times

Don't cry for me
Next door neighbor

I get knocked down
But I get up again
You're never gonna keep me down
I get knocked down
But I get up again
You're never gonna keep me down
I get knocked down
But I get up again
You're never gonna keep me down
I get knocked down
But I get up again
You're never gonna keep me down

I get knocked down
But I get up again (We'll be singing)
You're never gonna keep me down (When we're winning)
I get knocked down
But I get up again (We'll be singing)
You're never gonna keep me down (Ooh-ooh-ooh)
I get knocked down
But I get up again (We'll be singing)
You're never gonna keep me down (When we're winning)
I get knocked down
But I get up again (We'll be singing)
You're never gonna keep me down (Ooh-ooh-ooh)

I get knocked down
But I get up again (We'll be singing) (Pissing the night away)
You're never gonna keep me down (When we're winning)
I get knocked down
But I get up again (We'll be singing) (Pissing the night away)
You're never gonna keep me down (Ooh-ooh-ooh)
I get knocked down
But I get up again (We'll be singing) (Pissing the night away)
You're never gonna keep me down (When we're winning)
I get knocked down
But I get up again (We'll be singing) (Pissing the night away)
You're never gonna keep me down (Ooh-ooh-ooh)

I get knocked down
But I get up again (We'll be singing) (Pissing the night away)
You're never gonna keep me down (When we're winning)
I get knocked down
But I get up again (We'll be singing) (Pissing the night away)
You're never gonna keep me down (Ooh-ooh-ooh)
I get knocked down
But I get up again (We'll be singing) (Pissing the night away)
You're never gonna keep me down (When we're winning)
I get knocked down
But I get up again (We'll be singing) (Pissing the night away)
You're never gonna keep me down (Ooh-ooh-ooh)

I get knocked down
But I get up again (We'll be singing) (Pissing the night away)
You're never gonna keep me down (When we're winning)
I get knocked down
But I get up again (We'll be singing) (Pissing the night away)
You're never gonna keep me down (Ooh-ooh-ooh)
I get knocked down
But I get up again (We'll be singing) (Pissing the night away)
You're never gonna keep me down"
2518,Al Stewart,Year of the Cat,"Singer/Songwriter,Soft Rock  ",1976,"On a morning from a Bogart movie
In a country where they turn back time
You go strolling through the crowd like Peter Lorre
Contemplating a crime

She comes out of the sun in a silk dress running
Like a watercolor in the rain
Don't bother asking for explanations
She'll just tell you that she came

In the year of the cat

She doesn't give you time for questions
As she locks up your arm in hers
And you follow till your sense of which direction
Completely disappears

By the blue tiled walls near the market stalls
There's a hidden door she leads you to
These days, she says, ""I feel my life
Just like a river running through""

The year of the cat

Well, she looks at you so coolly
And her eyes shine like the moon in the sea
She comes in incense and patchouli
So you take her, to find what's waiting inside

The year of the cat

Well morning comes and you're still with her
And the bus and the tourists are gone
And you've thrown away your choice and lost your ticket
So you have to stay on

But the drumbeat strains of the night remain
In the rhythm of the new-born day
You know sometime you're bound to leave her
But for now you're going to stay

In the year of the cat
Year of the cat"
2519,Shamir,On the Regular,Hip House   ,2014,"Hi, hi, howdy, howdy, hi, hi!
While everyone is minus, you could call me multiply
Just so you know, yes, yes, I'm that guy
You could get five fingers and I'm not waving ""hi""
Guess I'm never-ending, you could call me pi
But really, how long till the world realize
Yes, yes I'm the best, fuck what you heard
Anything less is obviously absurd

Haters get the bird, more like an eagle
This is my movie, stay tuned for the sequel
Seems so wrong, seems so illegal
Fellas in the back like a foul-ball free-throw

[Chorus:]
Yep, yep, you know that I go
This is me on the regular, so you know
This is me on the regular, so you know
[x2]

I come with the tip, with the blow, with the boom
And if you're in my way, there's nothing but doom
Ain't got no time for you ratchet-ass goons
And just settle down, listen to my tunes
Ever since I was eight I was attached to the mic
Wanted a guitar before I wanted a bike
Had an Epiphone, fuck a Fisher-Price
Never see the sun cause I'm up all night (What)

Really, really? Really, really?
You want to talk shit but you know that I am illy?
Illy to the fullest, you can call me cancer
No multiple choice, cause I'm the only answer
Ain't got no wallet, only use rubber bands
You know my chick is ratchet cause that's what make her dance
You wanna get at me, but you don't stand a chance
And if you wanna fuck, yes you can

Haters get the bird, more like an eagle
This is my movie, stay tuned for the sequel
Seems so wrong, seems so illegal
Fellas in the back like a foul-ball free-throw

[Chorus x2]

Five-foot-ten, about a buck twenty
Skinny as a rod but still won't fuck with me
Wise ass nigga, you'd think I was 50
But I take your 50 after you take this spliff, see?

[Chorus]

Don't try me, I'm not a free sample
Step to me and you will be handled
See, that's my crown on the mantle
And if you try to touch it, yes, there will be scandal
[x2]

This is the end, but you really feeling it
Here's one more verse, cause I ain’t no stingy bitch
Ain't got much to say cause it's in my piece
Guess my words are blunt and I ain't talking weed

[Chorus x2]"
2520,King Crimson,The Court of the Crimson King,"Art Rock,Symphonic Prog  ",1969,"The rusted chains of prison moons
Are shattered by the sun
I walk a road, horizons change
The tournament's begun
The purple piper plays his tune
The choir softly sing
Three lullabies in an ancient tongue
For the court of the crimson king

The keeper of the city keys
Put shutters on the dreams
I wait outside the pilgrim's door
With insufficient schemes
The black queen chants
the funeral march
The cracked brass bells will ring
To summon back the fire witch
To the court of the crimson king

The gardener plants an evergreen
Whilst trampling on a flower
I chase the wind of a prism ship
To taste the sweet and sour
The pattern  juggler lifts his hand
The orchestra begin
As slowly turns the grinding wheel
In the court of the crimson king

On soft gray mornings widows cry
The wise men share a joke
I run to grasp divining signs
To satisfy the hoax
The yellow jester does not play
But gently pulls the strings
And smiles as the puppets dance
In the court of the crimson king"
2521,Best Coast,Boyfriend,"Indie Pop,Power Pop  ",2010,"I wish he was my boyfriend
I wish he was my boyfriend
I'd love him till the very end
But instead he is just a friend
I wish he was my boyfriend

There's nothing worse than sitting all alone at home
And waiting waiting waiting waiting waiting by the phone
I hope that he's at home waiting by his phone
I wonder if he knows that I want him

I wish he was my boyfriend
I wish he was my boyfriend
I'd love him till the very end
But instead he is just a friend
I wish he was my boyfriend

The other girl is not like me
She's prettier and skinnier
She has a college degree
I dropped out when I was seventeen
If I could only get her out of the picture
Then he would know how much I want him

One day I'll make him mine
And we'll be together all the time
We'll sit and watch the sunrise
And gaze into each other's eyes
I know that he knows
Know that he knows
I know that he wants to be my boyfriend
Boyfriend
Boyfriend

I'd love him till the very end
But instead he is just a friend
I wish he was my boyfriend
I wish he was my boyfriend

I'd love him till the very end
But instead he is just a friend
I wish he was my boyfriend"
2522,Lisa Loeb & Nine Stories,Stay (I Missed You),"Folk Pop,Pop Rock,Singer/Songwriter ",1994, 
2523,Aphex Twin,Girl/Boy Song,Drill and Bass   ,1996, 
2524,Édith Piaf,"Non, je ne regrette rien",Chanson   ,1960, 
2525,Gang of Four,At Home He's a Tourist,Dance-Punk   ,1979,"At home he feels like a tourist
At home he feels like a tourist
He fills his head with culture
He gives himself an ulcer
He fills his head with culture
He gives himself an ulcer

Down on the disco floor
They make their profit
From the things they sell
To help you cover
All the rubbers you hide
In your top left pocket

At home she's looking for interest
At home she's looking for interest
She said she was ambitious
So she accepts the process
She said she was ambitious
So she accepts the process

Down on the disco floor
They make their profit
From the things they sell
To help you cob off
And the rubbers you hide
In your top left pocket

Two steps forward
(Six steps back)
(Six steps back)
(Six steps back)
(Six steps back)
Small step for him
(Big jump for me)
(Big jump for me)
(Big jump for me)
(Big jump for me)

At home she feels like a tourist
At home she feels like a tourist
She fills her head with culture
She gives herself an ulcer
Why make yourself so anxious
You give yourself an ulcer"
2526,Kelela,LMK,Alternative R&B   ,2017,"Look, I'll give up right away
And you'll never figure out
What you said, but it's cool, baby
I'ma get me another round

Saw your face in my lane
Fall in love everyday
You can chase it for the night
There's a place for you and I

Let me know
It ain't that deep, either way
Let me know
Said I gotta go, don't wanna hear me say
Let me know
It ain't that deep, either way
No one's tryna settle down
All you gotta do is let me know

All you gotta do is let me know
Let me know
All you gotta do is let me know
Let me know
All you gotta do is let me know
No one's tryna settle down
All you gotta do is let me know

You don't read between the lines
'Bout to leave, can you read my mind?
Did you think you're my ride home, baby?
'Cause my girls are parked behind

Saw your face in my lane
Fall in love everyday
You can chase it for the night
There's a place for you and I

Let me know
It ain't that deep, either way
Let me know
Said I gotta go, don't wanna hear me say
Let me know
It ain't that deep, either way
No one's tryna settle down
All you gotta do is let me know

All you gotta do is let me know
Just let me know
All you gotta do is let me know
Just let me know
All you gotta do is let me know
No one's tryna settle down
All you gotta do is let me know

I saw your eyes fall right past my waist, so let me know
I ain't gonna wait if you hesitate, so let me know
I don't wait for nothin', baby
I ain't getting nowhere movin' at your pace, so let me know
I don't wait for nothin', baby
All you gotta do is let me know
Let me know, just let me know

All you gotta do is let me know
Just let me know
All you gotta do is let me know
No one's tryna settle down
All you gotta do is let me know
Just let me know
All you gotta do is let me know
It ain't that deep, baby
All you gotta do is let me know
All you gotta do is let me know
Let me know"
2527,Sleater-Kinney,I Wanna Be Your Joey Ramone,"Indie Rock,Riot Grrrl  ",1996,"It's fine
When it's all mine
It's on my wall
It's in my head
Memorize it till I'm dead
It's yours
I'm so bored

I wanna be your joey ramone
Pictures of me on your bad-girl door
Invite you back after the show
I'm the queen of rock and roll

I just don't care
Are you that scared?
I swear they're looking right at me
Push to the front so I can see
It's what I thought
It's rock'n'roll

I wanna be your thurston moore
Wrestle on the bedroom floor
Always leave me wanting more
Throw away those old records

We go downtown
Put on our best frowns
Give me a chance
I know I can dance

I wanna be your joey ramone
Pictures of me on your bad-girl door
Invite you back after the show
I'm the queen of rock and roll

It's fine
Cuz it's all mine"
2528,Visage,Fade to Grey,"New Romantic,Synthpop  ",1980,"Devenir gris
Devenir gris

One man on a lonely platform
One case sitting by his side
Two eyes staring cold and silent
Show fear as he turns to hide

We fade to grey (fade to grey)
We fade to grey (fade to grey)

Un homme dans une gare désolée
Une valise à ses cotés
Des yeux fixes et froids
Montrent de la peur lorsqu'il
Se tourne pour se cacher

We fade to grey (fade to grey)
We fade to grey (fade to grey)

Sens la pluie comme un été anglais
Entends les notes d'une chanson lointaine
Sortant de derrière un poster
Espérant que la vie ne fut aussi longue

We fade to grey (fade to grey)
We fade to grey (fade to grey)

Feel the rain like an English summer
Hear the notes from a distant song
Stepping out from a backdrop poster
Wishing life wouldn't be so long

Devenir gris

We fade to grey (fade to grey)
We fade to grey (fade to grey)
We fade to grey (fade to grey)
Devenir gris"
2529,Louis Jordan and His Tympany Five,Let the Good Times Roll,"Jump-Blues,Rhythm & Blues  ",1946, 
2530,Duffy,Mercy,"Blue Eyed Soul,Pop Soul  ",2008,"Hit the beat and take it to the bass now

I love you
But I gotta stay true
My morals got me on my knees
I'm beggin' please
Stop playin' games

I don't know what this is
But you got me good
Just like you knew you would

I don't know what you do
But you do it well
I'm under your spell.

You got me beggin' you for mercy
Why won't you release me
You got me beggin' you for mercy
Why won't you release me
I said release me

Now you think that I
Will be somethin' on the side
But you got to understand
That I need a man
Who can take my hand
Yes I do

I don't know what this is
But you got me good
Just like you knew you would

I don't know what you do
But you do it well
I'm under your spell

You got me beggin' you for mercy
Why won't you release me
You got me beggin' you for mercy
Why won't you release me
I said you better release me

[Background:]
You look at me and think we're the same kind
'Cause you don't know what I've got in my mind
I want a bit more than I'm asking for
But I just don't want to waste my time
You think that I'll be the other girl
Just like there's nothing in this world
I wanna have fun, go get me some
I just don't know where you're coming from

I'm beggin' you for mercy
Just why won't you release me
I'm beggin' you for mercy
You got me beggin', you got me beggin', you got me beggin'

Mercy
Why won't you release me
I'm beggin' you for mercy
Why won't you release me

You got me beggin' you for mercy
I'm beggin' you for mercy
I'm beggin' you for mercy
I'm beggin' you for mercy
I'm beggin' you for mercy
Why won't you release me

Break it down

Mercy
Begging you for mercy
You got me begging down on my knees
I said, you got me begging
Begging you for mercy
You got me begging
Begging you for mercy"
2531,Nirvana,Drain You,Grunge   ,1991,"One baby to another says, ""I'm lucky to have met you""
I don't care what you think unless it is about me
It is now my duty to completely drain you
I travel through a tube and end up in your infection

Chew your meat for you
Pass it back and forth
In a passionate kiss
From my mouth to yours
I like you

With eyes so dilated, I've become your pupil
You taught me everything without a poison apple
The water is so yellow, I'm a healthy student
Indebted and so grateful, vacuum out the fluids

Chew your meat for you
Pass it back and forth
In a passionate kiss
From my mouth to yours
I like you

You, you, you
You, you, you

One baby to another says, ""I'm lucky to have met you""
I don't care what you think unless it is about me
It is now my duty to completely drain you
I travel through a tube and end up in your infection

Chew your meat for you
Pass it back and forth
In a passionate kiss
From my mouth to yours
Sloppy lips to lips
You're my vitamins
I like you"
2532,Pere Ubu,Final Solution,"Art Punk,Art Rock,Post-Punk ",1976, 
2533,The Four Seasons,Sherry,"Doo-Wop,Pop  ",1962, 
2534,Hole,Violet,"Grunge,Riot Grrrl  ",1994,"And the sky was made of amethyst
And all the stars were just like little fish
You should learn when to go
You should learn how to say ""NO""

Might last a day, yeah
Mine is forever
Might last a day, yeah
Mine is forever

When they get what they want, they never want it again
When they get what they want, they never want it again

Go on, take everything, take everything, I want you to
Go on, take everything, take everything, I want you to

And the sky was all violet
I want it again, but violent more violent
Hey, I'm the one with no soul
One above and one below

Might last a day, yeah
Mine is forever
Might last a day, yeah
Mine is forever

When they get what they want, they never want it again
When they get what they want, they never want it again

Go on, take everything, take everything, I want you to
Go on, take everything, take everything, I dare you to

I told you from the start just how this would end
When I get what I want then I never want it again

Go on, take everything, take everything, I want you to
Go on, take everything, take everything, I want you to
Go on, take everything, take everything, I want you to
Go on, take everything, take everything, I want you to
Go on, take everything, take everything, I want you to
Go on, take everything, take everything, take everything, take everything"
2535,Mongo Santamaría,Watermelon Man,"Afro-Cuban Jazz,Boogaloo  ",1963, 
